complaint_text,category,subcategory,department,urgency
Street flooded near Sector 15,Water,Waterlogging,Drainage Department,Medium
No electricity supply since morning in Old Market,Electricity,PowerCut,Electricity Distribution Department,High
Broken footpath in MG Road,Road,Footpath,Urban Development Department,Low
Uneven lane causing accidents at Sector 15,Road,Potholes,Public Works Department,Medium
Broken footpath in Rajiv Chowk,Road,Footpath,Urban Development Department,Low
No water in public toilet at Civil Lines,Sanitation,PublicToilet,Public Health Department,Low
Trash scattered around MG Road,Sanitation,Garbage,Municipal Sanitation Department,Medium
Flickering light pole at Civil Lines,Electricity,Streetlight,Municipal Lighting Department,Low
Damaged road surface near MG Road,Road,Potholes,Public Works Department,Low
Rainwater accumulation at Rajiv Chowk,Water,Waterlogging,Drainage Department,Medium
Lamp post cracked in Sanjay Nagar,Electricity,Streetlight,Municipal Lighting Department,Low
Foul smell from toilet at MG Road,Sanitation,PublicToilet,Public Health Department,Low
Flickering light pole at Rajiv Chowk,Electricity,Streetlight,Municipal Lighting Department,Low
Traffic signal not working at MG Road,Road,TrafficSignal,Traffic Management Department,Medium
Large potholes on Old Market road,Road,Potholes,Public Works Department,Low
Dangerous hanging wires at Sanjay Nagar,Electricity,Wiring,Electrical Safety Department,High
Drain blocked and water pooling at MG Road,Water,Waterlogging,Drainage Department,Medium
Broken public restroom at Old Market,Sanitation,PublicToilet,Public Health Department,Low
Broken pipeline flooding Rajiv Chowk,Water,Leakage,Water Supply Department,High
Drain blocked and water pooling at MG Road,Water,Waterlogging,Drainage Department,Medium
Signal broken at Sanjay Nagar junction,Road,TrafficSignal,Traffic Management Department,High
Lamp post broken in Civil Lines,Electricity,Streetlight,Municipal Lighting Department,Low
Large potholes on Sector 15 road,Road,Potholes,Public Works Department,Medium
Broken pipeline flooding Old Market,Water,Leakage,Water Supply Department,Medium
Dirty tap water with foul smell in Sector 15,Water,Quality,Water Quality Department,High
Lamp post faulty in Civil Lines,Electricity,Streetlight,Municipal Lighting Department,Low
Drain blocked and water pooling at MG Road,Water,Waterlogging,Drainage Department,Low
Broken pipeline flooding Old Market,Water,Leakage,Water Supply Department,High
No proper pavement in Civil Lines,Road,Footpath,Urban Development Department,Low
Defective traffic signal in Rajiv Chowk,Road,TrafficSignal,Traffic Management Department,High
Dirty tap water with foul smell in Civil Lines,Water,Quality,Water Quality Department,High
Broken electric wires lying in Old Market,Electricity,Wiring,Electrical Safety Department,Medium
Damaged road surface near MG Road,Road,Potholes,Public Works Department,Low
Public toilet in Sector 15 not cleaned,Sanitation,PublicToilet,Public Health Department,Low
Broken public restroom at Civil Lines,Sanitation,PublicToilet,Public Health Department,Low
Garbage not collected at Civil Lines for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Low
Broken pipeline flooding Sanjay Nagar,Water,Leakage,Water Supply Department,Medium
Flickering light pole at Sanjay Nagar,Electricity,Streetlight,Municipal Lighting Department,Low
Brown water supply in Rajiv Chowk,Water,Quality,Water Quality Department,High
Complete blackout at MG Road,Electricity,PowerCut,Electricity Distribution Department,High
Broken electric wires lying in MG Road,Electricity,Wiring,Electrical Safety Department,High
Signal faulty at MG Road junction,Road,TrafficSignal,Traffic Management Department,High
Loose electrical cables in Civil Lines,Electricity,Wiring,Electrical Safety Department,Medium
Broken electric wires lying in Sanjay Nagar,Electricity,Wiring,Electrical Safety Department,High
Electricity failure since last night in Old Market,Electricity,PowerCut,Electricity Distribution Department,High
Trash scattered around Civil Lines,Sanitation,Garbage,Municipal Sanitation Department,Medium
Electricity failure since last night in MG Road,Electricity,PowerCut,Electricity Distribution Department,High
Damaged street surface near Sector 15,Road,Potholes,Public Works Department,Medium
Lamp post faulty in Sector 15,Electricity,Streetlight,Municipal Lighting Department,Low
Contaminated water from taps at MG Road,Water,Quality,Water Quality Department,Medium
Multiple potholes in Civil Lines,Road,Potholes,Public Works Department,Medium
Waste lying unattended in MG Road,Sanitation,Garbage,Municipal Sanitation Department,Medium
Water not safe for drinking in MG Road,Water,Quality,Water Quality Department,High
Broken public restroom at Rajiv Chowk,Sanitation,PublicToilet,Public Health Department,Low
Large potholes on Sanjay Nagar street,Road,Potholes,Public Works Department,Medium
Large potholes on Sector 15 lane,Road,Potholes,Public Works Department,Medium
Garbage not collected at Sanjay Nagar for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Medium
Streetlight not working at MG Road,Electricity,Streetlight,Municipal Lighting Department,Low
Water not safe for drinking in MG Road,Water,Quality,Water Quality Department,Medium
Brown water supply in Sector 15,Water,Quality,Water Quality Department,Medium
Drain blocked and water pooling at Old Market,Water,Waterlogging,Drainage Department,Medium
Waterlogging after heavy rain in Old Market,Water,Waterlogging,Drainage Department,Medium
Large potholes on Old Market lane,Road,Potholes,Public Works Department,Low
Dirty tap water with foul smell in MG Road,Water,Quality,Water Quality Department,High
Trash scattered around MG Road,Sanitation,Garbage,Municipal Sanitation Department,Medium
Contaminated water from taps at Old Market,Water,Quality,Water Quality Department,Medium
Signal cracked at Civil Lines junction,Road,TrafficSignal,Traffic Management Department,High
Drain blocked and water pooling at Old Market,Water,Waterlogging,Drainage Department,Low
Public toilet in Old Market not cleaned,Sanitation,PublicToilet,Public Health Department,Low
Water not safe for drinking in Sector 15,Water,Quality,Water Quality Department,Medium
Complete blackout at Sector 15,Electricity,PowerCut,Electricity Distribution Department,High
Loose electrical cables in Sector 15,Electricity,Wiring,Electrical Safety Department,High
Lamp post damaged in MG Road,Electricity,Streetlight,Municipal Lighting Department,Medium
Lamp post broken in Civil Lines,Electricity,Streetlight,Municipal Lighting Department,Low
Broken footpath in Sector 15,Road,Footpath,Urban Development Department,Low
Defective traffic signal in MG Road,Road,TrafficSignal,Traffic Management Department,High
Damaged highway surface near Sector 15,Road,Potholes,Public Works Department,Medium
Dirty tap water with foul smell in Sanjay Nagar,Water,Quality,Water Quality Department,High
Footpath tiles missing at Rajiv Chowk,Road,Footpath,Urban Development Department,Low
Damaged highway surface near Civil Lines,Road,Potholes,Public Works Department,Medium
Sewage water overflowing at Rajiv Chowk,Sanitation,Sewage,Drainage and Sewerage Department,High
Damaged highway surface near MG Road,Road,Potholes,Public Works Department,Low
Uneven road causing accidents at Civil Lines,Road,Potholes,Public Works Department,Low
Lamp post damaged in Sanjay Nagar,Electricity,Streetlight,Municipal Lighting Department,Low
Unsafe sidewalk at MG Road,Road,Footpath,Urban Development Department,Low
No proper pavement in Sanjay Nagar,Road,Footpath,Urban Development Department,Medium
Sewage water overflowing at Sector 15,Sanitation,Sewage,Drainage and Sewerage Department,High
Signal faulty at Sector 15 junction,Road,TrafficSignal,Traffic Management Department,Medium
Foul smell from toilet at Sanjay Nagar,Sanitation,PublicToilet,Public Health Department,Low
Broken footpath in Rajiv Chowk,Road,Footpath,Urban Development Department,Low
No proper pavement in MG Road,Road,Footpath,Urban Development Department,Low
Signal faulty at Sanjay Nagar junction,Road,TrafficSignal,Traffic Management Department,High
Large potholes on MG Road lane,Road,Potholes,Public Works Department,Low
Garbage not collected at Sector 15 for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Medium
Complete blackout at MG Road,Electricity,PowerCut,Electricity Distribution Department,Medium
Dirty tap water with foul smell in Sector 15,Water,Quality,Water Quality Department,Medium
Public toilet in Old Market not cleaned,Sanitation,PublicToilet,Public Health Department,Low
Dirty tap water with foul smell in MG Road,Water,Quality,Water Quality Department,High
Dark area due to faulty streetlights at Rajiv Chowk,Electricity,Streetlight,Municipal Lighting Department,Medium
Brown water supply in Sector 15,Water,Quality,Water Quality Department,Medium
Sewage water overflowing at Sector 15,Sanitation,Sewage,Drainage and Sewerage Department,Medium
Flickering light pole at Rajiv Chowk,Electricity,Streetlight,Municipal Lighting Department,Low
Traffic signal not working at MG Road,Road,TrafficSignal,Traffic Management Department,High
Uneven road causing accidents at Sector 15,Road,Potholes,Public Works Department,Low
Broken footpath in Sanjay Nagar,Road,Footpath,Urban Development Department,Low
Clogged drain near MG Road,Sanitation,Sewage,Drainage and Sewerage Department,High
Drain blocked and water pooling at MG Road,Water,Waterlogging,Drainage Department,Low
Broken pipeline flooding Sanjay Nagar,Water,Leakage,Water Supply Department,High
Street flooded near MG Road,Water,Waterlogging,Drainage Department,Medium
Exposed live wire near Old Market,Electricity,Wiring,Electrical Safety Department,High
Unsafe sidewalk at Old Market,Road,Footpath,Urban Development Department,Low
Broken electric wires lying in Sanjay Nagar,Electricity,Wiring,Electrical Safety Department,High
Complete blackout at MG Road,Electricity,PowerCut,Electricity Distribution Department,Medium
Broken public restroom at Civil Lines,Sanitation,PublicToilet,Public Health Department,Low
Broken electric wires lying in Sanjay Nagar,Electricity,Wiring,Electrical Safety Department,High
Broken footpath in Sector 15,Road,Footpath,Urban Development Department,Low
Power outage reported in MG Road,Electricity,PowerCut,Electricity Distribution Department,Medium
Waste lying unattended in Sector 15,Sanitation,Garbage,Municipal Sanitation Department,Low
Open sewage causing bad smell in Sector 15,Sanitation,Sewage,Drainage and Sewerage Department,High
Damaged lane surface near Rajiv Chowk,Road,Potholes,Public Works Department,Low
Electricity failure since last night in Old Market,Electricity,PowerCut,Electricity Distribution Department,High
Dirty tap water with foul smell in MG Road,Water,Quality,Water Quality Department,High
Broken electric wires lying in Rajiv Chowk,Electricity,Wiring,Electrical Safety Department,High
Lamp post cracked in Sanjay Nagar,Electricity,Streetlight,Municipal Lighting Department,Medium
Pipeline leaking on road at MG Road,Water,Leakage,Water Supply Department,Medium
Traffic signal not working at Sector 15,Road,TrafficSignal,Traffic Management Department,High
Contaminated water from taps at MG Road,Water,Quality,Water Quality Department,Medium
Uneven street causing accidents at Old Market,Road,Potholes,Public Works Department,Low
Footpath tiles missing at Civil Lines,Road,Footpath,Urban Development Department,Low
Rainwater accumulation at MG Road,Water,Waterlogging,Drainage Department,Low
Dangerous hanging wires at Old Market,Electricity,Wiring,Electrical Safety Department,High
Uneven road causing accidents at MG Road,Road,Potholes,Public Works Department,Low
Broken electric wires lying in MG Road,Electricity,Wiring,Electrical Safety Department,High
Red light not functioning in Civil Lines,Road,TrafficSignal,Traffic Management Department,Medium
Broken footpath in Civil Lines,Road,Footpath,Urban Development Department,Low
Unsafe sidewalk at MG Road,Road,Footpath,Urban Development Department,Medium
Broken pipeline flooding Old Market,Water,Leakage,Water Supply Department,High
No water in public toilet at MG Road,Sanitation,PublicToilet,Public Health Department,Medium
Pipeline leaking on road at Sanjay Nagar,Water,Leakage,Water Supply Department,High
Flickering light pole at Sector 15,Electricity,Streetlight,Municipal Lighting Department,Low
Broken public restroom at Rajiv Chowk,Sanitation,PublicToilet,Public Health Department,Low
Broken pipeline flooding Old Market,Water,Leakage,Water Supply Department,High
Dirty tap water with foul smell in Old Market,Water,Quality,Water Quality Department,High
Unsafe sidewalk at MG Road,Road,Footpath,Urban Development Department,Low
Open sewage causing bad smell in MG Road,Sanitation,Sewage,Drainage and Sewerage Department,High
Broken electric wires lying in Sanjay Nagar,Electricity,Wiring,Electrical Safety Department,High
Uneven road causing accidents at Civil Lines,Road,Potholes,Public Works Department,Low
Damaged street surface near Civil Lines,Road,Potholes,Public Works Department,Medium
Uneven street causing accidents at Sanjay Nagar,Road,Potholes,Public Works Department,Low
Power outage reported in Old Market,Electricity,PowerCut,Electricity Distribution Department,High
Street flooded near Rajiv Chowk,Water,Waterlogging,Drainage Department,Medium
Traffic signal not working at MG Road,Road,TrafficSignal,Traffic Management Department,High
Broken pipeline flooding Rajiv Chowk,Water,Leakage,Water Supply Department,High
Broken footpath in Sector 15,Road,Footpath,Urban Development Department,Low
Broken pipeline flooding MG Road,Water,Leakage,Water Supply Department,High
Rainwater accumulation at MG Road,Water,Waterlogging,Drainage Department,Medium
Street flooded near Rajiv Chowk,Water,Waterlogging,Drainage Department,Medium
Trash scattered around MG Road,Sanitation,Garbage,Municipal Sanitation Department,Low
Rainwater accumulation at Sanjay Nagar,Water,Waterlogging,Drainage Department,Low
Large potholes on Old Market lane,Road,Potholes,Public Works Department,Low
Contaminated water from taps at Sanjay Nagar,Water,Quality,Water Quality Department,High
No proper pavement in Sanjay Nagar,Road,Footpath,Urban Development Department,Low
Damaged highway surface near Old Market,Road,Potholes,Public Works Department,Low
Water not safe for drinking in MG Road,Water,Quality,Water Quality Department,High
Signal broken at Sector 15 junction,Road,TrafficSignal,Traffic Management Department,High
Signal cracked at Sanjay Nagar junction,Road,TrafficSignal,Traffic Management Department,High
Footpath tiles missing at Rajiv Chowk,Road,Footpath,Urban Development Department,Low
Broken footpath in Civil Lines,Road,Footpath,Urban Development Department,Low
Blocked manhole in Rajiv Chowk,Sanitation,Sewage,Drainage and Sewerage Department,High
Severe water leakage in Rajiv Chowk,Water,Leakage,Water Supply Department,High
Broken public restroom at Rajiv Chowk,Sanitation,PublicToilet,Public Health Department,Medium
Dangerous hanging wires at MG Road,Electricity,Wiring,Electrical Safety Department,High
Contaminated water from taps at Sector 15,Water,Quality,Water Quality Department,High
Dirty tap water with foul smell in Sector 15,Water,Quality,Water Quality Department,Medium
Damaged lane surface near MG Road,Road,Potholes,Public Works Department,Low
Blocked manhole in MG Road,Sanitation,Sewage,Drainage and Sewerage Department,High
Broken footpath in Rajiv Chowk,Road,Footpath,Urban Development Department,Low
Damaged lane surface near Sanjay Nagar,Road,Potholes,Public Works Department,Medium
Severe water leakage in MG Road,Water,Leakage,Water Supply Department,High
Severe water leakage in MG Road,Water,Leakage,Water Supply Department,High
Broken public restroom at Rajiv Chowk,Sanitation,PublicToilet,Public Health Department,Low
Waterlogging after heavy rain in Sanjay Nagar,Water,Waterlogging,Drainage Department,Medium
Streetlight not working at Old Market,Electricity,Streetlight,Municipal Lighting Department,Low
Signal damaged at Old Market junction,Road,TrafficSignal,Traffic Management Department,Medium
Public toilet in Civil Lines not cleaned,Sanitation,PublicToilet,Public Health Department,Medium
Garbage not collected at Rajiv Chowk for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Medium
Lamp post broken in Civil Lines,Electricity,Streetlight,Municipal Lighting Department,Low
Broken pipeline flooding MG Road,Water,Leakage,Water Supply Department,Medium
Power outage reported in Rajiv Chowk,Electricity,PowerCut,Electricity Distribution Department,High
Rainwater accumulation at Rajiv Chowk,Water,Waterlogging,Drainage Department,Medium
Broken footpath in Sector 15,Road,Footpath,Urban Development Department,Low
Signal broken at Sanjay Nagar junction,Road,TrafficSignal,Traffic Management Department,Medium
Broken electric wires lying in Rajiv Chowk,Electricity,Wiring,Electrical Safety Department,High
Foul smell from toilet at MG Road,Sanitation,PublicToilet,Public Health Department,Low
Power outage reported in Sector 15,Electricity,PowerCut,Electricity Distribution Department,High
Garbage not collected at Sanjay Nagar for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Medium
Dirty tap water with foul smell in MG Road,Water,Quality,Water Quality Department,High
Large potholes on MG Road road,Road,Potholes,Public Works Department,Medium
Lamp post cracked in Civil Lines,Electricity,Streetlight,Municipal Lighting Department,Low
Pipeline leaking on lane at MG Road,Water,Leakage,Water Supply Department,High
Overflowing dustbins in MG Road,Sanitation,Garbage,Municipal Sanitation Department,Low
Broken pipeline flooding Sector 15,Water,Leakage,Water Supply Department,High
Power outage reported in Rajiv Chowk,Electricity,PowerCut,Electricity Distribution Department,High
Footpath tiles missing at Sanjay Nagar,Road,Footpath,Urban Development Department,Low
Drain blocked and water pooling at Sector 15,Water,Waterlogging,Drainage Department,Medium
Overflowing dustbins in MG Road,Sanitation,Garbage,Municipal Sanitation Department,Medium
Signal damaged at Sector 15 junction,Road,TrafficSignal,Traffic Management Department,High
Lamp post broken in Civil Lines,Electricity,Streetlight,Municipal Lighting Department,Low
Footpath tiles missing at Sector 15,Road,Footpath,Urban Development Department,Low
Signal broken at Sanjay Nagar junction,Road,TrafficSignal,Traffic Management Department,Medium
Loose electrical cables in Sector 15,Electricity,Wiring,Electrical Safety Department,High
Large potholes on Sector 15 street,Road,Potholes,Public Works Department,Low
Broken electric wires lying in MG Road,Electricity,Wiring,Electrical Safety Department,High
Public toilet in Sanjay Nagar not cleaned,Sanitation,PublicToilet,Public Health Department,Medium
Red light not functioning in Civil Lines,Road,TrafficSignal,Traffic Management Department,High
Waterlogging after heavy rain in MG Road,Water,Waterlogging,Drainage Department,Medium
Broken footpath in Sector 15,Road,Footpath,Urban Development Department,Low
Large potholes on Sector 15 lane,Road,Potholes,Public Works Department,Medium
Complete blackout at Civil Lines,Electricity,PowerCut,Electricity Distribution Department,Medium
Contaminated water from taps at MG Road,Water,Quality,Water Quality Department,Medium
Lamp post cracked in Sector 15,Electricity,Streetlight,Municipal Lighting Department,Medium
Multiple potholes in Rajiv Chowk,Road,Potholes,Public Works Department,Low
Trash scattered around Civil Lines,Sanitation,Garbage,Municipal Sanitation Department,Low
No water in public toilet at Sanjay Nagar,Sanitation,PublicToilet,Public Health Department,Low
Large potholes on MG Road road,Road,Potholes,Public Works Department,Medium
Pipeline leaking on road at MG Road,Water,Leakage,Water Supply Department,High
Trash scattered around Sanjay Nagar,Sanitation,Garbage,Municipal Sanitation Department,Medium
Waterlogging after heavy rain in Civil Lines,Water,Waterlogging,Drainage Department,Medium
Large potholes on Sanjay Nagar road,Road,Potholes,Public Works Department,Medium
Lamp post faulty in Rajiv Chowk,Electricity,Streetlight,Municipal Lighting Department,Low
Damaged road surface near MG Road,Road,Potholes,Public Works Department,Low
Traffic signal not working at Old Market,Road,TrafficSignal,Traffic Management Department,High
Uneven highway causing accidents at Civil Lines,Road,Potholes,Public Works Department,Medium
Red light not functioning in MG Road,Road,TrafficSignal,Traffic Management Department,High
Streetlight not working at MG Road,Electricity,Streetlight,Municipal Lighting Department,Low
No electricity supply since morning in Sanjay Nagar,Electricity,PowerCut,Electricity Distribution Department,High
Uneven road causing accidents at Sector 15,Road,Potholes,Public Works Department,Low
Underground pipe burst at MG Road,Water,Leakage,Water Supply Department,High
Pipeline leaking on street at Sector 15,Water,Leakage,Water Supply Department,High
Underground pipe burst at MG Road,Water,Leakage,Water Supply Department,Medium
Dark area due to faulty streetlights at MG Road,Electricity,Streetlight,Municipal Lighting Department,Low
Damaged street surface near Sector 15,Road,Potholes,Public Works Department,Low
Broken footpath in Old Market,Road,Footpath,Urban Development Department,Medium
Broken public restroom at Sanjay Nagar,Sanitation,PublicToilet,Public Health Department,Low
Dark area due to faulty streetlights at Sanjay Nagar,Electricity,Streetlight,Municipal Lighting Department,Low
Complete blackout at MG Road,Electricity,PowerCut,Electricity Distribution Department,Medium
Foul smell from toilet at Rajiv Chowk,Sanitation,PublicToilet,Public Health Department,Low
Broken footpath in Rajiv Chowk,Road,Footpath,Urban Development Department,Low
Pipeline leaking on lane at Sector 15,Water,Leakage,Water Supply Department,High
Blocked manhole in Rajiv Chowk,Sanitation,Sewage,Drainage and Sewerage Department,High
No water in public toilet at MG Road,Sanitation,PublicToilet,Public Health Department,Low
Footpath tiles missing at Old Market,Road,Footpath,Urban Development Department,Medium
Damaged street surface near Sector 15,Road,Potholes,Public Works Department,Low
Large potholes on Rajiv Chowk road,Road,Potholes,Public Works Department,Medium
Broken public restroom at Sector 15,Sanitation,PublicToilet,Public Health Department,Low
Waste lying unattended in Old Market,Sanitation,Garbage,Municipal Sanitation Department,Medium
Broken footpath in MG Road,Road,Footpath,Urban Development Department,Low
No electricity supply since morning in Sanjay Nagar,Electricity,PowerCut,Electricity Distribution Department,High
Foul smell from toilet at Sector 15,Sanitation,PublicToilet,Public Health Department,Medium
No electricity supply since morning in MG Road,Electricity,PowerCut,Electricity Distribution Department,High
Dirty tap water with foul smell in Sector 15,Water,Quality,Water Quality Department,Medium
Loose electrical cables in Rajiv Chowk,Electricity,Wiring,Electrical Safety Department,High
Broken public restroom at MG Road,Sanitation,PublicToilet,Public Health Department,Low
Complete blackout at Old Market,Electricity,PowerCut,Electricity Distribution Department,Medium
Broken pipeline flooding Sanjay Nagar,Water,Leakage,Water Supply Department,Medium
Broken public restroom at Sanjay Nagar,Sanitation,PublicToilet,Public Health Department,Low
Unsafe sidewalk at MG Road,Road,Footpath,Urban Development Department,Low
Power outage reported in Civil Lines,Electricity,PowerCut,Electricity Distribution Department,High
Garbage not collected at Sanjay Nagar for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Medium
Pipeline leaking on highway at Sector 15,Water,Leakage,Water Supply Department,Medium
Large potholes on Old Market highway,Road,Potholes,Public Works Department,Low
Damaged highway surface near Rajiv Chowk,Road,Potholes,Public Works Department,Medium
Pipeline leaking on highway at Civil Lines,Water,Leakage,Water Supply Department,High
Dark area due to faulty streetlights at MG Road,Electricity,Streetlight,Municipal Lighting Department,Low
Waterlogging after heavy rain in Sector 15,Water,Waterlogging,Drainage Department,Medium
Trash scattered around Sector 15,Sanitation,Garbage,Municipal Sanitation Department,Low
Electricity failure since last night in Rajiv Chowk,Electricity,PowerCut,Electricity Distribution Department,Medium
Loose electrical cables in MG Road,Electricity,Wiring,Electrical Safety Department,High
Signal broken at Civil Lines junction,Road,TrafficSignal,Traffic Management Department,High
Dangerous hanging wires at MG Road,Electricity,Wiring,Electrical Safety Department,High
Large potholes on Sector 15 lane,Road,Potholes,Public Works Department,Medium
Broken pipeline flooding Rajiv Chowk,Water,Leakage,Water Supply Department,Medium
Exposed live wire near MG Road,Electricity,Wiring,Electrical Safety Department,High
Dirty tap water with foul smell in Old Market,Water,Quality,Water Quality Department,High
Red light not functioning in Rajiv Chowk,Road,TrafficSignal,Traffic Management Department,High
Broken public restroom at Rajiv Chowk,Sanitation,PublicToilet,Public Health Department,Low
Rainwater accumulation at MG Road,Water,Waterlogging,Drainage Department,Medium
Signal damaged at Sanjay Nagar junction,Road,TrafficSignal,Traffic Management Department,High
Broken pipeline flooding MG Road,Water,Leakage,Water Supply Department,High
Open sewage causing bad smell in MG Road,Sanitation,Sewage,Drainage and Sewerage Department,High
No water in public toilet at MG Road,Sanitation,PublicToilet,Public Health Department,Low
Loose electrical cables in Rajiv Chowk,Electricity,Wiring,Electrical Safety Department,High
Waste lying unattended in MG Road,Sanitation,Garbage,Municipal Sanitation Department,Low
Waterlogging after heavy rain in MG Road,Water,Waterlogging,Drainage Department,Low
Multiple potholes in MG Road,Road,Potholes,Public Works Department,Medium
No proper pavement in MG Road,Road,Footpath,Urban Development Department,Low
Broken electric wires lying in Rajiv Chowk,Electricity,Wiring,Electrical Safety Department,Medium
Broken public restroom at Sanjay Nagar,Sanitation,PublicToilet,Public Health Department,Low
Public toilet in Rajiv Chowk not cleaned,Sanitation,PublicToilet,Public Health Department,Low
Defective traffic signal in Sanjay Nagar,Road,TrafficSignal,Traffic Management Department,High
Damaged road surface near Rajiv Chowk,Road,Potholes,Public Works Department,Low
Unsafe sidewalk at MG Road,Road,Footpath,Urban Development Department,Low
Trash scattered around MG Road,Sanitation,Garbage,Municipal Sanitation Department,Low
Drain blocked and water pooling at MG Road,Water,Waterlogging,Drainage Department,Medium
Broken electric wires lying in MG Road,Electricity,Wiring,Electrical Safety Department,High
Severe water leakage in Rajiv Chowk,Water,Leakage,Water Supply Department,High
Unsafe sidewalk at MG Road,Road,Footpath,Urban Development Department,Low
Broken footpath in Rajiv Chowk,Road,Footpath,Urban Development Department,Medium
Uneven highway causing accidents at Old Market,Road,Potholes,Public Works Department,Medium
Open sewage causing bad smell in MG Road,Sanitation,Sewage,Drainage and Sewerage Department,High
Damaged highway surface near Old Market,Road,Potholes,Public Works Department,Medium
Lamp post damaged in Civil Lines,Electricity,Streetlight,Municipal Lighting Department,Low
Electricity failure since last night in Civil Lines,Electricity,PowerCut,Electricity Distribution Department,High
Large potholes on Sector 15 road,Road,Potholes,Public Works Department,Low
Water not safe for drinking in MG Road,Water,Quality,Water Quality Department,High
Large potholes on MG Road lane,Road,Potholes,Public Works Department,Medium
Red light not functioning in MG Road,Road,TrafficSignal,Traffic Management Department,High
Footpath tiles missing at Sanjay Nagar,Road,Footpath,Urban Development Department,Low
Water not safe for drinking in MG Road,Water,Quality,Water Quality Department,High
Broken public restroom at Rajiv Chowk,Sanitation,PublicToilet,Public Health Department,Low
Underground pipe burst at MG Road,Water,Leakage,Water Supply Department,High
Broken public restroom at Sector 15,Sanitation,PublicToilet,Public Health Department,Low
Lamp post damaged in Old Market,Electricity,Streetlight,Municipal Lighting Department,Low
Blocked manhole in Civil Lines,Sanitation,Sewage,Drainage and Sewerage Department,High
Lamp post faulty in Civil Lines,Electricity,Streetlight,Municipal Lighting Department,Medium
Water not safe for drinking in MG Road,Water,Quality,Water Quality Department,High
Loose electrical cables in Sector 15,Electricity,Wiring,Electrical Safety Department,High
Clogged drain near MG Road,Sanitation,Sewage,Drainage and Sewerage Department,High
Multiple potholes in Old Market,Road,Potholes,Public Works Department,Medium
Complete blackout at MG Road,Electricity,PowerCut,Electricity Distribution Department,Medium
Broken electric wires lying in Rajiv Chowk,Electricity,Wiring,Electrical Safety Department,High
Garbage not collected at MG Road for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Low
Rainwater accumulation at Sector 15,Water,Waterlogging,Drainage Department,Medium
Open sewage causing bad smell in MG Road,Sanitation,Sewage,Drainage and Sewerage Department,High
Power outage reported in MG Road,Electricity,PowerCut,Electricity Distribution Department,High
Large potholes on Civil Lines lane,Road,Potholes,Public Works Department,Medium
Signal damaged at Sanjay Nagar junction,Road,TrafficSignal,Traffic Management Department,Medium
Rainwater accumulation at Sanjay Nagar,Water,Waterlogging,Drainage Department,Low
Large potholes on MG Road highway,Road,Potholes,Public Works Department,Medium
Water not safe for drinking in MG Road,Water,Quality,Water Quality Department,High
Public toilet in Sanjay Nagar not cleaned,Sanitation,PublicToilet,Public Health Department,Low
No proper pavement in Sector 15,Road,Footpath,Urban Development Department,Low
Dirty tap water with foul smell in Rajiv Chowk,Water,Quality,Water Quality Department,High
Broken electric wires lying in Sanjay Nagar,Electricity,Wiring,Electrical Safety Department,High
Pipeline leaking on highway at Rajiv Chowk,Water,Leakage,Water Supply Department,High
Broken footpath in MG Road,Road,Footpath,Urban Development Department,Low
Unsafe sidewalk at Old Market,Road,Footpath,Urban Development Department,Medium
Waterlogging after heavy rain in MG Road,Water,Waterlogging,Drainage Department,Medium
Drain blocked and water pooling at Rajiv Chowk,Water,Waterlogging,Drainage Department,Medium
Trash scattered around MG Road,Sanitation,Garbage,Municipal Sanitation Department,Medium
Lamp post faulty in Old Market,Electricity,Streetlight,Municipal Lighting Department,Low
Lamp post damaged in Sector 15,Electricity,Streetlight,Municipal Lighting Department,Low
Loose electrical cables in MG Road,Electricity,Wiring,Electrical Safety Department,High
Complete blackout at MG Road,Electricity,PowerCut,Electricity Distribution Department,High
Streetlight not working at MG Road,Electricity,Streetlight,Municipal Lighting Department,Medium
No proper pavement in MG Road,Road,Footpath,Urban Development Department,Low
Dirty tap water with foul smell in Sector 15,Water,Quality,Water Quality Department,Medium
Broken public restroom at Old Market,Sanitation,PublicToilet,Public Health Department,Low
Dirty tap water with foul smell in MG Road,Water,Quality,Water Quality Department,High
Lamp post faulty in Civil Lines,Electricity,Streetlight,Municipal Lighting Department,Low
Broken footpath in Old Market,Road,Footpath,Urban Development Department,Low
Lamp post cracked in Sanjay Nagar,Electricity,Streetlight,Municipal Lighting Department,Low
Dirty tap water with foul smell in Sector 15,Water,Quality,Water Quality Department,High
No electricity supply since morning in Old Market,Electricity,PowerCut,Electricity Distribution Department,Medium
Dirty tap water with foul smell in Civil Lines,Water,Quality,Water Quality Department,Medium
Severe water leakage in Sector 15,Water,Leakage,Water Supply Department,High
Lamp post damaged in Rajiv Chowk,Electricity,Streetlight,Municipal Lighting Department,Medium
Waterlogging after heavy rain in Civil Lines,Water,Waterlogging,Drainage Department,Medium
Open sewage causing bad smell in Sector 15,Sanitation,Sewage,Drainage and Sewerage Department,High
Contaminated water from taps at MG Road,Water,Quality,Water Quality Department,High
